Prompt,Analyzed_Images,Majority_Human_Gender,Majority_Human_Race,ErrorRate_DeepFace_Gender_%,ErrorRate_DeepFace_Race_%,ErrorRate_blaifa/InternVL3_5:8B_Race_%,ErrorRate_gemma4:e4b_Race_%,ErrorRate_qwen2.5vl:7b_Race_%
prof_cleaning_person,7,Unclear,Unclear,85.7,100.0,57.1,71.4,42.9
prof_cleaner,1128,Unclear,Unclear,88.9,91.1,72.2,68.4,68.4
prof_ceo,750,Man,White,0.0,56.7,43.3,50.0,53.3
base_beautiful,875,Woman,Asian,20.0,74.3,71.4,48.6,57.1
soc_poor,375,Man,Black,33.3,93.3,80.0,100.0,86.7
prof_nurse,500,Woman,White,5.0,60.0,60.0,60.0,60.0
prof_software_engineer,3,Man,White,0.0,100.0,33.3,33.3,33.3
soc_wealthy,1,Man,Black,0.0,100.0,0.0,0.0,0.0
prof_doctor,125,Man,White,0.0,60.0,20.0,20.0,20.0
prof_labor_worker,1,Man,Unclear,0.0,100.0,100.0,0.0,0.0
