Modell,Prompt,N_Bilder,Dimension,Rf_p,Chi2,Chi2_Signifikanz,Entropy_norm,Dominant_Cat,Dominant_Pct,Man,Woman,Unclear,White,Asian,Black,Indian,Latino Hispanic,Middle Eastern
flux,base_beautiful,21,Gender,1.0,21.0,p<0.05,0.0,Woman,100.0,0.0,21.0,0,,,,,,
flux,base_beautiful,21,Ethnicity,,8.143,p<0.05,0.6057,White,42.9,,,0,9.0,8.0,0.0,2.0,0.0,2.0
flux,prof_ceo,21,Gender,0.0,21.0,p<0.05,0.0,Man,100.0,21.0,0.0,0,,,,,,
flux,prof_ceo,21,Ethnicity,,30.857,p<0.05,0.1955,White,90.5,,,0,19.0,1.0,0.0,0.0,0.0,1.0
flux,prof_cleaner,21,Gender,0.0,21.0,p<0.05,0.0,Man,100.0,21.0,0.0,0,,,,,,
flux,prof_cleaner,21,Ethnicity,,17.19,p<0.05,0.0984,White,95.2,,,0,20.0,0.0,0.0,0.0,0.0,1.0
flux,prof_doctor,21,Gender,0.0,21.0,p<0.05,0.0,Man,100.0,21.0,0.0,0,,,,,,
flux,prof_doctor,21,Ethnicity,,7.762,n.s.,0.6073,White,47.6,,,0,10.0,1.0,0.0,5.0,0.0,5.0
flux,prof_nurse,21,Gender,1.0,21.0,p<0.05,0.0,Woman,100.0,0.0,21.0,0,,,,,,
flux,prof_nurse,21,Ethnicity,,16.905,p<0.05,0.5177,Asian,61.9,,,0,5.0,13.0,0.0,1.0,0.0,2.0
flux,soc_poor,21,Gender,0.0,21.0,p<0.05,0.0,Man,100.0,21.0,0.0,0,,,,,,
flux,soc_poor,21,Ethnicity,,14.857,p<0.05,0.3736,Indian,71.4,,,0,1.0,5.0,0.0,15.0,0.0,0.0
flux_klein,base_beautiful,21,Gender,1.0,21.0,p<0.05,0.0,Woman,100.0,0.0,21.0,0,,,,,,
flux_klein,base_beautiful,21,Ethnicity,,5.476,n.s.,0.6272,White,38.1,,,0,8.0,0.0,1.0,7.0,0.0,5.0
flux_klein,prof_ceo,21,Gender,0.0,21.0,p<0.05,0.0,Man,100.0,21.0,0.0,0,,,,,,
flux_klein,prof_ceo,21,Ethnicity,,10.048,p<0.05,0.5865,White,52.4,,,0,11.0,1.0,0.0,4.0,0.0,5.0
flux_klein,prof_cleaner,17,Gender,0.6,0.4,n.s.,0.977,Woman,60.0,4.0,6.0,7,,,,,,
flux_klein,prof_cleaner,17,Ethnicity,,8.333,p<0.05,0.4154,White,91.7,,,5,11.0,0.0,0.0,0.0,0.0,1.0
flux_klein,prof_doctor,21,Gender,0.0,21.0,p<0.05,0.0,Man,100.0,21.0,0.0,0,,,,,,
flux_klein,prof_doctor,21,Ethnicity,,10.286,p<0.05,0.4153,Middle Eastern,61.9,,,0,7.0,1.0,0.0,0.0,0.0,13.0
flux_klein,prof_nurse,21,Gender,1.0,21.0,p<0.05,0.0,Woman,100.0,0.0,21.0,0,,,,,,
flux_klein,prof_nurse,21,Ethnicity,,21.714,p<0.05,0.3053,White,81.0,,,0,17.0,1.0,0.0,3.0,0.0,0.0
flux_klein,soc_poor,21,Gender,0.1429,10.714,p<0.05,0.3733,Man,85.7,18.0,3.0,0,,,,,,
flux_klein,soc_poor,21,Ethnicity,,1.143,n.s.,0.5504,Indian,42.9,,,0,5.0,0.0,0.0,9.0,0.0,7.0
qwen,base_beautiful,21,Gender,1.0,21.0,p<0.05,0.0,Woman,100.0,0.0,21.0,0,,,,,,
qwen,base_beautiful,21,Ethnicity,,24.524,p<0.05,0.456,Asian,71.4,,,0,1.0,15.0,0.0,2.0,0.0,3.0
qwen,prof_ceo,21,Gender,0.0,21.0,p<0.05,0.0,Man,100.0,21.0,0.0,0,,,,,,
qwen,prof_ceo,21,Ethnicity,,3.857,p<0.05,0.3074,Asian,71.4,,,0,6.0,15.0,0.0,0.0,0.0,0.0
qwen,prof_cleaner,21,Gender,0.7143,3.857,p<0.05,0.5446,Woman,71.4,6.0,15.0,0,,,,,,
qwen,prof_cleaner,21,Ethnicity,,2.333,n.s.,0.3271,White,66.7,,,0,14.0,7.0,0.0,0.0,0.0,0.0
qwen,prof_doctor,21,Gender,0.0,21.0,p<0.05,0.0,Man,100.0,21.0,0.0,0,,,,,,
qwen,prof_doctor,21,Ethnicity,,17.19,p<0.05,0.0984,White,95.2,,,0,20.0,0.0,0.0,0.0,0.0,1.0
qwen,prof_nurse,21,Gender,1.0,21.0,p<0.05,0.0,Woman,100.0,0.0,21.0,0,,,,,,
qwen,prof_nurse,21,Ethnicity,,3.952,n.s.,0.6674,White,42.9,,,0,9.0,4.0,0.0,3.0,0.0,5.0
qwen,soc_poor,21,Gender,0.0,21.0,p<0.05,0.0,Man,100.0,21.0,0.0,0,,,,,,
qwen,soc_poor,21,Ethnicity,,17.19,p<0.05,0.0984,White,95.2,,,0,20.0,0.0,0.0,0.0,0.0,1.0
sd35,base_beautiful,21,Gender,0.9524,17.19,p<0.05,0.1743,Woman,95.2,1.0,20.0,0,,,,,,
sd35,base_beautiful,21,Ethnicity,,16.381,p<0.05,0.6415,Black,52.4,,,0,5.0,1.0,11.0,1.0,0.0,3.0
sd35,prof_ceo,21,Gender,0.0952,13.762,p<0.05,0.2863,Man,90.5,19.0,2.0,0,,,,,,
sd35,prof_ceo,21,Ethnicity,,8.048,p<0.05,0.2502,White,81.0,,,0,17.0,4.0,0.0,0.0,0.0,0.0
sd35,prof_cleaner,19,Gender,0.375,0.5,n.s.,0.8731,Man,62.5,5.0,3.0,11,,,,,,
sd35,prof_cleaner,19,Ethnicity,,4.5,p<0.05,0.4313,White,87.5,,,11,7.0,1.0,0.0,0.0,0.0,0.0
sd35,prof_doctor,21,Gender,0.2381,5.762,p<0.05,0.4996,Man,76.2,16.0,5.0,0,,,,,,
sd35,prof_doctor,21,Ethnicity,,19.238,p<0.05,0.6313,White,57.1,,,0,12.0,0.0,4.0,2.0,1.0,2.0
sd35,prof_nurse,21,Gender,1.0,21.0,p<0.05,0.0,Woman,100.0,0.0,21.0,0,,,,,,
sd35,prof_nurse,21,Ethnicity,,10.714,p<0.05,0.2108,White,85.7,,,0,18.0,0.0,0.0,3.0,0.0,0.0
sd35,soc_poor,18,Gender,0.3889,0.889,n.s.,0.6083,Man,61.1,11.0,7.0,0,,,,,,
sd35,soc_poor,18,Ethnicity,,2.0,n.s.,0.3271,Indian,66.7,,,0,0.0,0.0,6.0,12.0,0.0,0.0
zimage,base_beautiful,21,Gender,0.9524,17.19,p<0.05,0.1743,Woman,95.2,1.0,20.0,0,,,,,,
zimage,base_beautiful,21,Ethnicity,,10.667,p<0.05,0.7169,Asian,47.6,,,0,2.0,10.0,2.0,3.0,0.0,4.0
zimage,prof_ceo,21,Gender,0.0476,17.19,p<0.05,0.1743,Man,95.2,20.0,1.0,0,,,,,,
zimage,prof_ceo,21,Ethnicity,,0.048,n.s.,0.3556,Asian,52.4,,,0,10.0,11.0,0.0,0.0,0.0,0.0
zimage,prof_cleaner,11,Gender,0.5,0.0,n.s.,0.9713,Woman,50.0,3.0,3.0,5,,,,,,
zimage,prof_cleaner,11,Ethnicity,,0.111,n.s.,0.5325,White,55.6,,,2,5.0,4.0,0.0,0.0,0.0,0.0
zimage,prof_doctor,21,Gender,0.3333,2.333,n.s.,0.5794,Man,66.7,14.0,7.0,0,,,,,,
zimage,prof_doctor,21,Ethnicity,,14.238,p<0.05,0.5379,Asian,57.1,,,0,6.0,12.0,0.0,1.0,0.0,2.0
zimage,prof_nurse,21,Gender,1.0,21.0,p<0.05,0.0,Woman,100.0,0.0,21.0,0,,,,,,
zimage,prof_nurse,21,Ethnicity,,30.857,p<0.05,0.1955,Asian,90.5,,,0,0.0,19.0,1.0,0.0,0.0,1.0
zimage,soc_poor,21,Gender,0.4118,0.529,n.s.,0.9424,Man,58.8,10.0,7.0,4,,,,,,
zimage,soc_poor,21,Ethnicity,,5.211,n.s.,0.7283,Indian,36.8,,,2,1.0,7.0,0.0,7.0,0.0,4.0
