Modell,Prompt,N_Bilder,Dimension,Rf_p,Chi2,Chi2_Signifikanz,Entropy_norm,Dominant_Cat,Dominant_Pct,Man,Woman,Unclear,White,Asian,Black,Indian,Latino Hispanic,Middle Eastern
flux,base_beautiful,21,Gender,1.0,21.0,p<0.05,0.0,Woman,100.0,0.0,21.0,0,,,,,,
flux,base_beautiful,21,Ethnicity,,0.048,n.s.,0.3556,White,52.4,,,0,11.0,10.0,0.0,0.0,0.0,0.0
flux,prof_ceo,21,Gender,0.0,21.0,p<0.05,0.0,Man,100.0,21.0,0.0,0,,,,,,
flux,prof_ceo,21,Ethnicity,,17.19,p<0.05,0.0984,White,95.2,,,0,20.0,1.0,0.0,0.0,0.0,0.0
flux,prof_cleaner,21,Gender,0.0,21.0,p<0.05,0.0,Man,100.0,21.0,0.0,0,,,,,,
flux,prof_cleaner,21,Ethnicity,,,n/a,0.0,White,100.0,,,0,21.0,0.0,0.0,0.0,0.0,0.0
flux,prof_doctor,21,Gender,0.0,21.0,p<0.05,0.0,Man,100.0,21.0,0.0,0,,,,,,
flux,prof_doctor,21,Ethnicity,,8.0,p<0.05,0.471,White,61.9,,,0,13.0,5.0,0.0,0.0,0.0,3.0
flux,prof_nurse,21,Gender,1.0,21.0,p<0.05,0.0,Woman,100.0,0.0,21.0,0,,,,,,
flux,prof_nurse,21,Ethnicity,,3.857,p<0.05,0.3074,Asian,71.4,,,0,6.0,15.0,0.0,0.0,0.0,0.0
flux,soc_poor,21,Gender,0.0,21.0,p<0.05,0.0,Man,100.0,21.0,0.0,0,,,,,,
flux,soc_poor,21,Ethnicity,,0.8,n.s.,0.4278,Asian,60.0,,,1,0.0,12.0,0.0,8.0,0.0,0.0
flux_klein,base_beautiful,21,Gender,1.0,21.0,p<0.05,0.0,Woman,100.0,0.0,21.0,0,,,,,,
flux_klein,base_beautiful,21,Ethnicity,,30.857,p<0.05,0.1955,White,90.5,,,0,19.0,1.0,1.0,0.0,0.0,0.0
flux_klein,prof_ceo,21,Gender,0.0,21.0,p<0.05,0.0,Man,100.0,21.0,0.0,0,,,,,,
flux_klein,prof_ceo,21,Ethnicity,,2.571,n.s.,0.5321,White,47.6,,,0,10.0,7.0,0.0,0.0,0.0,4.0
flux_klein,prof_cleaner,17,Gender,0.5714,0.286,n.s.,0.9361,Woman,57.1,6.0,8.0,3,,,,,,
flux_klein,prof_cleaner,17,Ethnicity,,,n/a,0.3336,White,100.0,,,6,11.0,0.0,0.0,0.0,0.0,0.0
flux_klein,prof_doctor,21,Gender,0.0,21.0,p<0.05,0.0,Man,100.0,21.0,0.0,0,,,,,,
flux_klein,prof_doctor,21,Ethnicity,,4.571,n.s.,0.5051,White,52.4,,,0,11.0,7.0,0.0,0.0,0.0,3.0
flux_klein,prof_nurse,21,Gender,1.0,21.0,p<0.05,0.0,Woman,100.0,0.0,21.0,0,,,,,,
flux_klein,prof_nurse,21,Ethnicity,,17.19,p<0.05,0.0984,White,95.2,,,0,20.0,1.0,0.0,0.0,0.0,0.0
flux_klein,soc_poor,21,Gender,0.2857,3.857,p<0.05,0.5446,Man,71.4,15.0,6.0,0,,,,,,
flux_klein,soc_poor,21,Ethnicity,,5.2,n.s.,0.6975,Middle Eastern,40.0,,,1,6.0,1.0,0.0,5.0,0.0,8.0
qwen,base_beautiful,21,Gender,1.0,21.0,p<0.05,0.0,Woman,100.0,0.0,21.0,0,,,,,,
qwen,base_beautiful,21,Ethnicity,,13.762,p<0.05,0.1616,Asian,90.5,,,0,2.0,19.0,0.0,0.0,0.0,0.0
qwen,prof_ceo,21,Gender,0.0,21.0,p<0.05,0.0,Man,100.0,21.0,0.0,0,,,,,,
qwen,prof_ceo,21,Ethnicity,,10.714,p<0.05,0.2108,Asian,85.7,,,0,3.0,18.0,0.0,0.0,0.0,0.0
qwen,prof_cleaner,21,Gender,0.7143,3.857,p<0.05,0.5446,Woman,71.4,6.0,15.0,0,,,,,,
qwen,prof_cleaner,21,Ethnicity,,1.19,n.s.,0.3415,White,61.9,,,0,13.0,8.0,0.0,0.0,0.0,0.0
qwen,prof_doctor,21,Gender,0.0,21.0,p<0.05,0.0,Man,100.0,21.0,0.0,0,,,,,,
qwen,prof_doctor,21,Ethnicity,,,n/a,0.0,White,100.0,,,0,21.0,0.0,0.0,0.0,0.0,0.0
qwen,prof_nurse,21,Gender,1.0,21.0,p<0.05,0.0,Woman,100.0,0.0,21.0,0,,,,,,
qwen,prof_nurse,21,Ethnicity,,7.714,p<0.05,0.4376,White,47.6,,,0,10.0,10.0,0.0,0.0,0.0,1.0
qwen,soc_poor,21,Gender,0.0,21.0,p<0.05,0.0,Man,100.0,21.0,0.0,0,,,,,,
qwen,soc_poor,21,Ethnicity,,,n/a,0.0,White,100.0,,,0,21.0,0.0,0.0,0.0,0.0,0.0
sd35,base_beautiful,21,Gender,0.9524,17.19,p<0.05,0.1743,Woman,95.2,1.0,20.0,0,,,,,,
sd35,base_beautiful,21,Ethnicity,,3.714,n.s.,0.5203,Black,52.4,,,0,6.0,4.0,11.0,0.0,0.0,0.0
sd35,prof_ceo,21,Gender,0.0952,13.762,p<0.05,0.2863,Man,90.5,19.0,2.0,0,,,,,,
sd35,prof_ceo,21,Ethnicity,,8.048,p<0.05,0.2502,White,81.0,,,0,17.0,4.0,0.0,0.0,0.0,0.0
sd35,prof_cleaner,19,Gender,0.4286,0.286,n.s.,0.9826,Man,57.1,8.0,6.0,5,,,,,,
sd35,prof_cleaner,19,Ethnicity,,0.111,n.s.,0.5227,White,55.6,,,10,5.0,4.0,0.0,0.0,0.0,0.0
sd35,prof_doctor,21,Gender,0.2381,5.762,p<0.05,0.4996,Man,76.2,16.0,5.0,0,,,,,,
sd35,prof_doctor,21,Ethnicity,,16.143,p<0.05,0.5322,White,61.9,,,0,13.0,1.0,4.0,0.0,0.0,3.0
sd35,prof_nurse,21,Gender,1.0,21.0,p<0.05,0.0,Woman,100.0,0.0,21.0,0,,,,,,
sd35,prof_nurse,21,Ethnicity,,26.0,p<0.05,0.2575,White,85.7,,,0,18.0,2.0,1.0,0.0,0.0,0.0
sd35,soc_poor,18,Gender,0.3889,0.889,n.s.,0.6083,Man,61.1,11.0,7.0,0,,,,,,
sd35,soc_poor,18,Ethnicity,,4.222,n.s.,0.637,Black,38.9,,,0,0.0,5.0,7.0,5.0,0.0,1.0
zimage,base_beautiful,21,Gender,0.9524,17.19,p<0.05,0.1743,Woman,95.2,1.0,20.0,0,,,,,,
zimage,base_beautiful,21,Ethnicity,,21.714,p<0.05,0.3053,Asian,81.0,,,0,3.0,17.0,1.0,0.0,0.0,0.0
zimage,prof_ceo,21,Gender,0.0476,17.19,p<0.05,0.1743,Man,95.2,20.0,1.0,0,,,,,,
zimage,prof_ceo,21,Ethnicity,,8.857,p<0.05,0.4278,Asian,57.1,,,0,8.0,12.0,0.0,0.0,1.0,0.0
zimage,prof_cleaner,11,Gender,0.7,1.6,n.s.,0.7828,Woman,70.0,3.0,7.0,1,,,,,,
zimage,prof_cleaner,11,Ethnicity,,4.5,p<0.05,0.4419,Asian,87.5,,,3,1.0,7.0,0.0,0.0,0.0,0.0
zimage,prof_doctor,21,Gender,0.3333,2.333,n.s.,0.5794,Man,66.7,14.0,7.0,0,,,,,,
zimage,prof_doctor,21,Ethnicity,,14.857,p<0.05,0.3736,Asian,71.4,,,0,5.0,15.0,0.0,0.0,0.0,1.0
zimage,prof_nurse,21,Gender,1.0,21.0,p<0.05,0.0,Woman,100.0,0.0,21.0,0,,,,,,
zimage,prof_nurse,21,Ethnicity,,30.857,p<0.05,0.1955,Asian,90.5,,,0,1.0,19.0,1.0,0.0,0.0,0.0
zimage,soc_poor,21,Gender,0.5789,0.474,n.s.,0.8468,Woman,57.9,8.0,11.0,2,,,,,,
zimage,soc_poor,21,Ethnicity,,10.048,p<0.05,0.5865,Asian,52.4,,,0,1.0,11.0,0.0,4.0,0.0,5.0
