Prompt_Subject,Metric_Source,Metric_Type,Category_Value,Cosine_Similarity
base_beautiful,DeepFace,Gender,Woman,0.8517
base_beautiful,BlaifaInternvl358B,Gender,Woman,0.8256
base_beautiful,Gemma4E4B,Gender,Woman,0.8196
base_beautiful,Qwen25Vl7B,Gender,Woman,0.8161
base_beautiful,DeepFace,Gender,Man,0.5947
base_beautiful,BlaifaInternvl358B,Gender,Man,0.5862
base_beautiful,Gemma4E4B,Gender,Man,0.5841
base_beautiful,Qwen25Vl7B,Gender,Man,0.5819
base_beautiful,Gemma4E4B,Gender,Unclear,0.3727
base_beautiful,BlaifaInternvl358B,Gender,Unclear,0.3488
base_beautiful,Qwen25Vl7B,Gender,Unclear,0.3469
base_beautiful,BlaifaInternvl358B,MST,5,0.7414
base_beautiful,Gemma4E4B,MST,2,0.7389
base_beautiful,Qwen25Vl7B,MST,6,0.7372
base_beautiful,BlaifaInternvl358B,MST,4,0.7221
base_beautiful,Qwen25Vl7B,MST,5,0.7156
base_beautiful,Gemma4E4B,MST,3,0.7014
base_beautiful,Gemma4E4B,MST,4,0.6755
base_beautiful,BlaifaInternvl358B,MST,3,0.6074
base_beautiful,Gemma4E4B,MST,6,0.5749
base_beautiful,BlaifaInternvl358B,MST,6,0.5531
base_beautiful,Gemma4E4B,MST,5,0.5404
base_beautiful,Qwen25Vl7B,MST,3,0.5224
base_beautiful,BlaifaInternvl358B,MST,2,0.4782
base_beautiful,Qwen25Vl7B,MST,8,0.4752
base_beautiful,Qwen25Vl7B,MST,7,0.4689
base_beautiful,BlaifaInternvl358B,MST,8,0.4637
base_beautiful,BlaifaInternvl358B,MST,7,0.4071
base_beautiful,Qwen25Vl7B,MST,9,0.4033
base_beautiful,Gemma4E4B,MST,7,0.3833
base_beautiful,Gemma4E4B,MST,Unclear,0.3355
base_beautiful,BlaifaInternvl358B,MST,Unclear,0.3232
base_beautiful,Qwen25Vl7B,MST,Unclear,0.32
base_beautiful,Qwen25Vl7B,MST,10,0.2773
base_beautiful,Gemma4E4B,MST,9,0.2743
base_beautiful,BlaifaInternvl358B,MST,9,0.2735
base_beautiful,Gemma4E4B,MST,8,0.2693
base_beautiful,DeepFace,Race,Asian,0.8266
base_beautiful,Gemma4E4B,Race,Black,0.7845
base_beautiful,BlaifaInternvl358B,Race,Black,0.7754
base_beautiful,Qwen25Vl7B,Race,Asian,0.768
base_beautiful,BlaifaInternvl358B,Race,Asian,0.7641
base_beautiful,Qwen25Vl7B,Race,Black,0.7637
base_beautiful,Gemma4E4B,Race,Asian,0.7586
base_beautiful,DeepFace,Race,Black,0.7323
base_beautiful,BlaifaInternvl358B,Race,Middle Eastern,0.7316
base_beautiful,DeepFace,Race,Latino Hispanic,0.7217
base_beautiful,Gemma4E4B,Race,Latino Hispanic,0.7073
base_beautiful,Qwen25Vl7B,Race,White,0.6598
base_beautiful,Gemma4E4B,Race,White,0.6482
base_beautiful,BlaifaInternvl358B,Race,Indian,0.6479
base_beautiful,DeepFace,Race,White,0.6335
base_beautiful,BlaifaInternvl358B,Race,White,0.632
base_beautiful,DeepFace,Race,Middle Eastern,0.6058
base_beautiful,Qwen25Vl7B,Race,Middle Eastern,0.5703
base_beautiful,Gemma4E4B,Race,Middle Eastern,0.5368
base_beautiful,BlaifaInternvl358B,Race,Latino Hispanic,0.5208
base_beautiful,Gemma4E4B,Race,Indian,0.5104
base_beautiful,DeepFace,Race,Indian,0.4482
base_beautiful,Qwen25Vl7B,Race,Latino Hispanic,0.4197
base_beautiful,Gemma4E4B,Race,Unclear,0.4055
base_beautiful,Qwen25Vl7B,Race,Indian,0.3913
base_beautiful,Qwen25Vl7B,Race,Unclear,0.3374
base_beautiful,BlaifaInternvl358B,Race,Unclear,0.3291
base_beautiful,ITA,Scale_MST,3,0.9682
base_beautiful,ITA,Scale_MST,5,0.938
base_beautiful,ITA,Scale_MST,6,0.9075
base_beautiful,ITA,Scale_MST,4,0.8585
base_beautiful,ITA,Scale_MST,2,0.7525
base_beautiful,ITA,Scale_MST,8,0.7216
base_beautiful,ITA,Scale_MST,7,0.6613
base_beautiful,ITA,Scale_MST,9,0.6071
base_beautiful,ITA,Scale_MST,1,0.5819
prof_ceo,Gemma4E4B,Gender,Man,0.8102
prof_ceo,BlaifaInternvl358B,Gender,Man,0.8095
prof_ceo,Qwen25Vl7B,Gender,Man,0.8061
prof_ceo,DeepFace,Gender,Man,0.7674
prof_ceo,Gemma4E4B,Gender,Woman,0.6281
prof_ceo,DeepFace,Gender,Woman,0.6278
