Prompt_Subject,Metric_Source,Metric_Type,Category_Value,Cosine_Similarity
base_beautiful,DeepFace,Gender,Woman,0.7355
base_beautiful,BlaifaInternvl358B,Gender,Woman,0.71
base_beautiful,Gemma4E4B,Gender,Woman,0.7075
base_beautiful,Qwen25Vl7B,Gender,Woman,0.7044
base_beautiful,DeepFace,Gender,Man,0.4094
base_beautiful,BlaifaInternvl358B,Gender,Man,0.4059
base_beautiful,Gemma4E4B,Gender,Man,0.4003
base_beautiful,Qwen25Vl7B,Gender,Man,0.3991
base_beautiful,Gemma4E4B,Gender,Unclear,0.0761
base_beautiful,BlaifaInternvl358B,Gender,Unclear,0.0421
base_beautiful,Qwen25Vl7B,Gender,Unclear,0.0342
base_beautiful,BlaifaInternvl358B,MST,5,0.6044
base_beautiful,Qwen25Vl7B,MST,6,0.6016
base_beautiful,Gemma4E4B,MST,2,0.5855
base_beautiful,Qwen25Vl7B,MST,5,0.5355
base_beautiful,Gemma4E4B,MST,3,0.5325
base_beautiful,BlaifaInternvl358B,MST,4,0.5229
base_beautiful,Gemma4E4B,MST,4,0.4769
base_beautiful,Gemma4E4B,MST,6,0.4188
base_beautiful,Gemma4E4B,MST,5,0.3768
base_beautiful,BlaifaInternvl358B,MST,6,0.3754
base_beautiful,BlaifaInternvl358B,MST,3,0.3715
base_beautiful,Qwen25Vl7B,MST,7,0.3219
base_beautiful,Qwen25Vl7B,MST,3,0.3172
base_beautiful,Qwen25Vl7B,MST,8,0.3147
base_beautiful,BlaifaInternvl358B,MST,7,0.2464
base_beautiful,BlaifaInternvl358B,MST,8,0.2016
base_beautiful,Qwen25Vl7B,MST,9,0.1945
base_beautiful,Gemma4E4B,MST,7,0.1627
base_beautiful,BlaifaInternvl358B,MST,2,0.0991
base_beautiful,Qwen25Vl7B,MST,10,0.0806
base_beautiful,Gemma4E4B,MST,8,0.0772
base_beautiful,BlaifaInternvl358B,MST,9,0.0701
base_beautiful,Gemma4E4B,MST,9,0.0609
base_beautiful,BlaifaInternvl358B,MST,Unclear,0.01
base_beautiful,Gemma4E4B,MST,Unclear,0.0048
base_beautiful,Qwen25Vl7B,MST,Unclear,-0.0014
base_beautiful,DeepFace,Race,Asian,0.7526
base_beautiful,Qwen25Vl7B,Race,Asian,0.6678
base_beautiful,BlaifaInternvl358B,Race,Asian,0.6677
base_beautiful,Gemma4E4B,Race,Asian,0.654
base_beautiful,BlaifaInternvl358B,Race,Black,0.6143
base_beautiful,Gemma4E4B,Race,Black,0.6121
base_beautiful,Qwen25Vl7B,Race,Black,0.5955
base_beautiful,BlaifaInternvl358B,Race,Middle Eastern,0.5834
base_beautiful,DeepFace,Race,Latino Hispanic,0.5636
base_beautiful,DeepFace,Race,Black,0.5291
base_beautiful,Gemma4E4B,Race,Latino Hispanic,0.5278
base_beautiful,BlaifaInternvl358B,Race,Indian,0.5127
base_beautiful,Qwen25Vl7B,Race,White,0.4893
base_beautiful,Gemma4E4B,Race,White,0.4754
