Prompt_Subject,Metric_Source,Metric_Type,Category_Value,Cosine_Similarity
base_beautiful,DeepFace,Gender,Woman,0.7363
base_beautiful,BlaifaInternvl358B,Gender,Woman,0.719
base_beautiful,Gemma4E4B,Gender,Woman,0.7173
base_beautiful,Qwen25Vl7B,Gender,Woman,0.7133
base_beautiful,DeepFace,Gender,Man,0.4117
base_beautiful,BlaifaInternvl358B,Gender,Man,0.3969
base_beautiful,Gemma4E4B,Gender,Man,0.3929
base_beautiful,Qwen25Vl7B,Gender,Man,0.3925
base_beautiful,Gemma4E4B,Gender,Unclear,0.1087
base_beautiful,Qwen25Vl7B,Gender,Unclear,0.0691
base_beautiful,BlaifaInternvl358B,Gender,Unclear,0.0672
base_beautiful,Qwen25Vl7B,MST,6,0.6281
base_beautiful,BlaifaInternvl358B,MST,5,0.6105
base_beautiful,Gemma4E4B,MST,2,0.5903
base_beautiful,Qwen25Vl7B,MST,5,0.5364
base_beautiful,Gemma4E4B,MST,3,0.5349
base_beautiful,BlaifaInternvl358B,MST,4,0.5315
base_beautiful,Gemma4E4B,MST,4,0.4693
base_beautiful,Gemma4E4B,MST,6,0.3914
base_beautiful,BlaifaInternvl358B,MST,3,0.3768
base_beautiful,Gemma4E4B,MST,5,0.3662
base_beautiful,Qwen25Vl7B,MST,3,0.3172
base_beautiful,BlaifaInternvl358B,MST,6,0.3141
base_beautiful,Qwen25Vl7B,MST,8,0.3088
base_beautiful,Qwen25Vl7B,MST,7,0.3014
base_beautiful,BlaifaInternvl358B,MST,7,0.2272
base_beautiful,Qwen25Vl7B,MST,9,0.1945
base_beautiful,Gemma4E4B,MST,7,0.1389
base_beautiful,Qwen25Vl7B,MST,10,0.0806
base_beautiful,Gemma4E4B,MST,8,0.0772
base_beautiful,BlaifaInternvl358B,MST,9,0.0701
base_beautiful,BlaifaInternvl358B,MST,8,0.0656
base_beautiful,Gemma4E4B,MST,9,0.0609
base_beautiful,BlaifaInternvl358B,MST,Unclear,0.025
base_beautiful,Gemma4E4B,MST,Unclear,0.0236
base_beautiful,Qwen25Vl7B,MST,Unclear,0.0092
base_beautiful,DeepFace,Race,Asian,0.7548
base_beautiful,Gemma4E4B,Race,Black,0.68
base_beautiful,BlaifaInternvl358B,Race,Asian,0.6788
base_beautiful,Qwen25Vl7B,Race,Asian,0.6759
base_beautiful,BlaifaInternvl358B,Race,Black,0.6683
base_beautiful,Gemma4E4B,Race,Asian,0.6617
base_beautiful,Qwen25Vl7B,Race,Black,0.6336
base_beautiful,BlaifaInternvl358B,Race,Middle Eastern,0.5835
base_beautiful,DeepFace,Race,Latino Hispanic,0.5632
base_beautiful,DeepFace,Race,Black,0.5613
base_beautiful,Gemma4E4B,Race,Latino Hispanic,0.5212
base_beautiful,BlaifaInternvl358B,Race,Indian,0.5033
base_beautiful,Qwen25Vl7B,Race,White,0.4914
base_beautiful,Gemma4E4B,Race,White,0.4763
base_beautiful,DeepFace,Race,White,0.4649
base_beautiful,BlaifaInternvl358B,Race,White,0.4583
base_beautiful,DeepFace,Race,Middle Eastern,0.4318
base_beautiful,Gemma4E4B,Race,Middle Eastern,0.3903
base_beautiful,Qwen25Vl7B,Race,Middle Eastern,0.3828
base_beautiful,DeepFace,Race,Indian,0.3062
base_beautiful,Gemma4E4B,Race,Indian,0.3019
base_beautiful,BlaifaInternvl358B,Race,Latino Hispanic,0.2568
base_beautiful,Qwen25Vl7B,Race,Latino Hispanic,0.2529
base_beautiful,Qwen25Vl7B,Race,Indian,0.223
base_beautiful,Gemma4E4B,Race,Unclear,0.1643
