Prompt,Modell_A,Modell_B,Kosinus_Distanz,Kosinus_Aehnlichkeit
base_beautiful,flux,flux_klein,0.1346,0.8654
base_beautiful,flux,qwen,0.158,0.842
base_beautiful,flux,sd35,0.1364,0.8636
base_beautiful,flux,zimage,0.1577,0.8423
base_beautiful,flux_klein,qwen,0.2032,0.7968
base_beautiful,flux_klein,sd35,0.1961,0.8039
base_beautiful,flux_klein,zimage,0.2584,0.7416
base_beautiful,qwen,sd35,0.226,0.774
base_beautiful,qwen,zimage,0.2208,0.7792
base_beautiful,sd35,zimage,0.1658,0.8342
prof_ceo,flux,flux_klein,0.1351,0.8649
prof_ceo,flux,qwen,0.316,0.684
prof_ceo,flux,sd35,0.198,0.802
prof_ceo,flux,zimage,0.1398,0.8602
prof_ceo,flux_klein,qwen,0.3164,0.6836
prof_ceo,flux_klein,sd35,0.1572,0.8428
prof_ceo,flux_klein,zimage,0.1783,0.8217
prof_ceo,qwen,sd35,0.3024,0.6976
prof_ceo,qwen,zimage,0.2388,0.7612
prof_ceo,sd35,zimage,0.1713,0.8287
prof_cleaner,flux,flux_klein,0.1126,0.8874
prof_cleaner,flux,qwen,0.1766,0.8234
prof_cleaner,flux,sd35,0.0776,0.9224
prof_cleaner,flux,zimage,0.163,0.837
prof_cleaner,flux_klein,qwen,0.1416,0.8584
prof_cleaner,flux_klein,sd35,0.0905,0.9095
prof_cleaner,flux_klein,zimage,0.1397,0.8603
prof_cleaner,qwen,sd35,0.1444,0.8556
prof_cleaner,qwen,zimage,0.1811,0.8189
prof_cleaner,sd35,zimage,0.1299,0.8701
prof_doctor,flux,flux_klein,0.07,0.93
prof_doctor,flux,qwen,0.1702,0.8298
prof_doctor,flux,sd35,0.1155,0.8845
prof_doctor,flux,zimage,0.1206,0.8794
prof_doctor,flux_klein,qwen,0.1779,0.8221
prof_doctor,flux_klein,sd35,0.0817,0.9183
prof_doctor,flux_klein,zimage,0.1358,0.8642
prof_doctor,qwen,sd35,0.0866,0.9134
prof_doctor,qwen,zimage,0.1589,0.8411
prof_doctor,sd35,zimage,0.1223,0.8777
prof_nurse,flux,flux_klein,0.1696,0.8304
prof_nurse,flux,qwen,0.1502,0.8498
prof_nurse,flux,sd35,0.1066,0.8934
prof_nurse,flux,zimage,0.1699,0.8301
prof_nurse,flux_klein,qwen,0.2134,0.7866
prof_nurse,flux_klein,sd35,0.1686,0.8314
prof_nurse,flux_klein,zimage,0.2431,0.7569
prof_nurse,qwen,sd35,0.1358,0.8642
prof_nurse,qwen,zimage,0.2547,0.7453
prof_nurse,sd35,zimage,0.2497,0.7503
soc_poor,flux,flux_klein,0.1591,0.8409
soc_poor,flux,qwen,0.1715,0.8285
soc_poor,flux,sd35,0.1428,0.8572
soc_poor,flux,zimage,0.1225,0.8775
soc_poor,flux_klein,qwen,0.2517,0.7483
soc_poor,flux_klein,sd35,0.2565,0.7435
soc_poor,flux_klein,zimage,0.1602,0.8398
soc_poor,qwen,sd35,0.2728,0.7272
soc_poor,qwen,zimage,0.2152,0.7848
soc_poor,sd35,zimage,0.1722,0.8278
