Image_Name,T2I_Model,Prompt_Subject,MonkScale_RGB,ITA_Value,ITA_Scale_MST
base_beautiful_seed117_crop.png,flux,base_beautiful,5,28.64,3
prof_ceo_seed106_crop.png,flux,prof_ceo,6,81.89,1
soc_poor_seed111_crop.png,flux,soc_poor,6,-78.87,9
prof_nurse_seed101_crop.png,flux,prof_nurse,4,81.4,1
prof_doctor_seed105_crop.png,flux,prof_doctor,6,87.52,1
prof_nurse_seed103_crop.png,flux,prof_nurse,5,81.96,1
prof_ceo_seed109_crop.png,flux,prof_ceo,6,70.15,1
prof_cleaner_seed113_crop.png,flux,prof_cleaner,4,86.74,1
prof_nurse_seed108_crop.png,flux,prof_nurse,5,88.33,1
prof_nurse_seed110_crop.png,flux,prof_nurse,4,84.85,1
base_beautiful_seed105_crop.png,flux,base_beautiful,6,-12.5,7
soc_poor_seed120_crop.png,flux,soc_poor,10,-55.98,9
prof_ceo_seed113_crop.png,flux,prof_ceo,5,-70.57,9
prof_ceo_seed112_crop.png,flux,prof_ceo,6,61.02,1
base_beautiful_seed106_crop.png,flux,base_beautiful,5,29.69,3
base_beautiful_seed119_crop.png,flux,base_beautiful,5,28.88,3
soc_poor_seed102_crop.png,flux,soc_poor,6,-64.38,9
base_beautiful_seed108_crop.png,flux,base_beautiful,9,9.65,6
prof_doctor_seed104_crop.png,flux,prof_doctor,6,87.15,1
prof_cleaner_seed109_crop.png,flux,prof_cleaner,6,83.17,1
prof_cleaner_seed118_crop.png,flux,prof_cleaner,2,85.12,1
prof_doctor_seed115_crop.png,flux,prof_doctor,6,80.8,1
base_beautiful_seed120_crop.png,flux,base_beautiful,6,8.34,6
prof_cleaner_seed105_crop.png,flux,prof_cleaner,9,81.93,1
prof_doctor_seed114_crop.png,flux,prof_doctor,5,85.93,1
prof_cleaner_seed102_crop.png,flux,prof_cleaner,4,83.62,1
prof_nurse_seed115_crop.png,flux,prof_nurse,6,77.79,1
prof_nurse_seed121_crop.png,flux,prof_nurse,5,86.97,1
prof_nurse_seed105_crop.png,flux,prof_nurse,4,-89.23,9
prof_ceo_seed101_crop.png,flux,prof_ceo,5,84.83,1
prof_doctor_seed121_crop.png,flux,prof_doctor,6,89.51,1
prof_ceo_seed120_crop.png,flux,prof_ceo,6,84.47,1
prof_doctor_seed118_crop.png,flux,prof_doctor,4,-89.04,9
prof_doctor_seed120_crop.png,flux,prof_doctor,6,85.36,1
prof_doctor_seed116_crop.png,flux,prof_doctor,6,82.72,1
soc_poor_seed101_crop.png,flux,soc_poor,10,88.7,1
prof_ceo_seed119_crop.png,flux,prof_ceo,5,-67.16,9
prof_nurse_seed114_crop.png,flux,prof_nurse,5,81.13,1
prof_cleaner_seed104_crop.png,flux,prof_cleaner,4,78.01,1
prof_nurse_seed116_crop.png,flux,prof_nurse,5,88.08,1
base_beautiful_seed104_crop.png,flux,base_beautiful,5,24.25,4
base_beautiful_seed112_crop.png,flux,base_beautiful,6,22.76,4
